active;label;asset;liquidity;risk_factor;account_category;asset_medium;platform;investment_type;notes;25/07/2021;04/09/2021;17/10/2021;12/11/2021;25/11/2021;19/12/2021;31/12/2021;01/03/2022;15/03/2022;14/05/2022;27/05/2022;17/06/2022;16/07/2022;14/08/2022;27/08/2022;07/10/2022;12/11/2022;02/12/2022;01/03/2023;29/03/2023;07/04/2023;13/05/2023;14/07/2023;06/08/2023;04/09/2023;15/09/2023;20/11/2023;27/11/2023;15/12/2023;27/12/2023;16/02/2024;25/02/2024;09/03/2024;17/03/2024;07/05/2024;21/05/2024;20/07/2024;07/08/2024;10/08/2024;26/08/2024;29/10/2024;11/11/2024;12/11/2024;17/11/2024;22/11/2024;26/12/2024;31/12/2024;19/01/2025;11/02/2025;08/03/2025;11/03/2025;26/04/2025;10/05/2025;23/05/2025;01/06/2025;14/06/2025;22/06/2025;27/06/2025;21/07/2025;03/09/2025;15/09/2025;13/10/2025;26/10/2025;28/10/2025;05/11/2025;11/11/2025;24/11/2025;07/12/2025;11/01/2026;18/01/2026;01/02/2026;08/02/2026;02/03/2026;16/03/2026;22/03/2026;11/04/2026;22/04/2026;03/05/2026;05/05/2026;12/05/2026
0;yoga;Bitcoin;HIGH;"HIGH RISK";"Alternativ Equiv";Bitcoin;BITCOIN;"Self Custody";"BTC Cold Wallet";;;;;;;;;;;;;;;1282171;1310316;1129922;1128141;1117629;5855508;5935587;5632383;6611594;6236840;5627049;5780431;8129497;8190605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Bitcoin;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Bitcoin;BINANCE;"Binance Earn (High Yield)";"Bitcoin Sell High";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4264369;4758035;5566442;4720133;4974977;5082211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Bitcoin;HIGH;"HIGH RISK";"Alternativ Equiv";Crypto;Triv;"Exchange Wallet";Bitcoin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4244924;4186743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Bitcoin;HIGH;"HIGH RISK";"Alternativ Equiv";Crypto;INDODAX;"Exchange Wallet";Bitcoin;;;;;;;;;;;;;;541156;440121;435737;384631;387164;380028;589550;591308;121;119;102;102;;;2496260;12931065;13142472;17439472;18231243;24086923;23256662;25086185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …8943";Bitcoin;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Bitcoin;Arbitrum;"Wrapped Bitcoin";"Wrapped Bitcoin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1993226;1688715;1844502;1813284;2069287;2390932;;2659130;2917821;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …qwkz";Bitcoin;HIGH;"HIGH RISK";"Alternativ Equiv";Bitcoin;BITCOIN;"Self Custody";Bitcoin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28423359;27048269;22891465;24127393;47696155;54369168;62860466;67546606;69681574;76460490;77716114;72292496;82577599;77562849;67998768;63915612;77377847;82864085;87368918;82039783;83446670;81000488;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Ether;HIGH;"HIGH RISK";"Alternativ Equiv";Crypto;Triv;Crypto;Ether;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11100408;16370735;17591386;23403805;17205649;12527789;14942636;498636;358784;375973;371100;363688;438051;462375;438860;473274;8585451;8197585;8175507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Ether;HIGH;"HIGH RISK";"Alternativ Equiv";Crypto;INDODAX;Crypto;Ethereum;;;;;;;;;;;;;;;;;;;;;;;;;;1300488;5709796;7476429;9079572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;yoga;Ether;HIGH;"HIGH RISK";"Alternativ Equiv";Crypto;BINANCE;Crypto;ETH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8215294;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …3688";Ether;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;Optimism;Crypto;Ether;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …8943";Ether;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;Arbitrum;Crypto;Ether;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84794;60053;62520;63125;61575;74717;52521;49850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Wallet …3688";Ether;HIGH;"VERY HIGH RISK";"Alternativ Equiv";Crypto;Arbitrum;Crypto;Ether;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;218004;103658;94658;179334;207386;107006;52346;54546;54371;52126;62894;66176;62810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
